headline_text
Southern European bond yields hit multi-week lows
BRIEF-LG sells its entire stake in unit LG Life Sciences
BRIEF-Golden Wheel Tiandi says unit confirms subscription of new shares of Xiamen International Bank
BRIEF-Sunshine 100 China Holdings Dec contracted sales of RMB1.76 bln
Euro zone stocks start 2017 with new one-year high. For more see the European equities LiveMarkets blog
China Stocks-Factors to watch on Tuesday
BRIEF-Hong Kong Education Intl investments entered into sale and purchase agreement
BRIEF-Platige Image sets conditions to end investment in Juice
European shares hit highs as PMI data comes as New Year's gift
Denmark awaiting extradition order from South Korea for Chung Yoo-ra
Britain to build 17 towns and villages to ease housing squeeze
Myanmar vows action on police abuse after video of beating emerges
BRIEF-CCC Dec. 2016 revenue up 50 percent YoY
BRIEF-Oriental Bank of Commerce cuts overnight MCLR to 8.40 pct
Oil prices rise as markets eye OPEC
Preview - Blackhawks at Blues
Islamic State claims blast in Baghdad's Sadr City
BRIEF-Shenzhen Worldunion's property sales through agency at 510.8 bln yuan as of end-2016
BRIEF-Casta Diva Group buys 70 pct stake in Anteprima Video via cash
MOVES-Norway's c.bank appoints new Chief Investment Officer for oil fund
PRESS DIGEST- British Business - Jan 3
Indian court bans politicians from using religion
Iraqi forces rely on drones as they advance in eastern Mosul
Bitcoin jumps above $1
New car sales rise 9.3 pct in Spain in December
Singapore Q4 private home prices -0.4 pct q/q - housing authority
UPDATE 1-Germany's E.ON and RWE to foot nuclear waste bill in one hit -CEOs
BRIEF-Actinogen Medical receives FDA approval to commence alzheimer's disease clinical trial
China navy confirms carrier conducted drills in South China Sea
BRIEF-Industrial Bank of Taiwan changes name to O-Bank Co Ltd
BRIEF-Aon Hewitt Consulting announces leadership change in greater China
BRIEF-AutoBank enters into indefinite term loan agreement
BRIEF-Guangxi Hechi Sinomine's shares to halt trade
BRIEF-Henry Group Holdings says trading in shares of will be halted
Britain's Labour leader could quit before next election - union boss
BRIEF-Speedy Global says trading in shares of co will be halted
BRIEF-Shandong Delisi Food reprimanded by exchange on information disclosure issues
BRIEF-HI-LIGHT TEK sells Xiamen-based unit for 16.7 mln yuan
BRIEF-Medtecs International Corporation announces sale of properties in Philippines by group
UPDATE 1-Bitcoin jumps above $1
BRIEF-Advance Synergy says fire incident occurred at Holiday Villa Arosa
BRIEF-Transtema buys provider of services and products in fiber optics
BRIEF-G bits Network Technology Xiamen's shares to debut trade on Jan 4
Federer makes smooth return to action in Hopman Cup
PRECIOUS-Gold edges up despite firm dollar
BRIEF-Comtec Solar Systems Group updates on proposed disposal of target assets of Comtec Malaysia
BRIEF-Philweb Corp sold its investment in Acentic GMBH to Niantic Holding GMBH
BRIEF-Serodus says primary endpoint reached by SER150 Phase 2a study in Diabetic Nephropathy
BRIEF-CIFI Holdings updates on facility agreement with specific performance covenants
BRIEF-Velpic to Deliver Learning Management System to Government Customer
BRIEF-Balrampur Chini Mills gets members' nod for share buyback worth up to 1.75 bln rupees
BRIEF-Jiashili Group says Lee Ping Nam resigns as executive director
India's infrastructure output growth slows to 4.9 pct in Nov y/y - govt
BRIEF-Jiangsu King's Luck sees 2016 profit up 5-15 pct on high-end liquor sales
BRIEF-BME trading down 32 pct in 2016 vs year ago
BRIEF-Sinosoft Technology clarifies on second Zhongkui report
Israeli police to question Netanyahu over alleged gifts - media
BRIEF-Aboitiz Power says Aboitiz Renewables signs MOU with BDO Unibank And San Carlos Sun Power
Daughter of South Korean leader's friend arrested in Denmark amid graft probe
PRESS DIGEST- Financial Times - Jan 3
BRIEF-Baolihua Meida Nylon's shares to halt trade in Shenzhen
BRIEF-Imperial Pacific Int'l announces Temporary casino's unaudited VIP table games rolling for 2016
BRIEF-Jiayuan International says unit enters into equity transfer framework agreement
BRIEF-Eco Bio Holdings signs contract worth 5.14 bln won
BRIEF-Murray River says China sales for FY17 to be below 2 pct of total sales
Cricket-Warner hits ton before lunch on first day of third test
FACTBOX-Cricket-Centuries before lunch on opening day of a test match
BRIEF-Blackwall says Blackwall Property Trust enters into agreement to purchase office building in Hobart CBD
Sri Lankan rupee ends thin session weaker
GRAINS-Soybeans firm in first day of trading in 2017
BRIEF-Andhra bank cuts overnight MCLR to 8.45 pct
BRIEF-Beibu Gulf Tourism appoints president
Dollar recovers from two-week lows in holiday-thinned market
BRIEF-Bajaj Hindusthan Sugar considers seeking members' nod for sale of co-generation business
BRIEF-Sunrise International Development to issue 11.5 mln new shares for working capital replenish
BRIEF-Zhongtian Urban Development signs agreement on Guiyang project
China December factory activity rises to near four-year high - Caixin PMI
BRIEF-iStreet Network says Mangal Keshav Capital cuts stake in co by 2.11 pct
Australia shares rise to 17-month high in strong start to 2017
Suicide bombers attack peacekeepers' Somali HQ
Sri Lankan shares fall as Keells draws selling
BRIEF-Guangdong Baolihua gets regulatory approval to set up private bank
EM ASIA FX-Yuan  Singapore dollar edges up
BRIEF-FCA and Google collaborate on a uconnect system concept powered by android
UPDATE 3-Peru demands cash from Odebrecht ahead of plea deal talks
BRIEF-HTM International to issue 1st series secured convertible corporation bonds worth T$120 mln
Car bombing in Baghdad's Sadr City kills at least 24 people and wounds 67
BRIEF-Basware updates on personnel costs and 2016 reporting
BRIEF-Monro Muffler Brake appoints Brian J. D'ambrosia as CFO
Saudi cabinet stresses need to implement oil output cut - statement
CORRECTED-FOREX-Dollar resumes its ascent
New Year
China's economy could grow 6.5 pct in 2017
Afghan minister suspended over phone tax investigation
FOREX-Dollar holds firm
BRIEF-Union Europea de Inversiones completes debt restructuring process
BRIEF-AVIC Real Estate Holding announces shareholding structure change
TAKE A LOOK-Asia GDP - Singapore Q4 GDP gets boost from manufacturing
Argentina decrees telecoms rule changes to increase competition
BRIEF-TVS Motor December total sales down about 8.5 pct
China December factory activity rises to near 4-year high - Caixin PMI
Evergrande raises $4.3 bln new capital for its China backdoor listing
Egyptian judge facing corruption charge hangs himself - lawyer
BRIEF-Shenzhen Quanxinhao raises stake in finance holdings firm to 64.3 pct
BRIEF-Atlas Jewellery gets notice from IT dept post assessment for assessment years 2014-15
BRIEF-China National Accord Medicines unit to set up 51-pct-owned supply chain service JV
BRIEF-Tangrenshen Group gets regulatory approval to acquire assets
UPDATE 2-Indian banks aim to boost credit growth with sharp rate cuts
BRIEF-China National Accord Medicines unit to set up 51-pct-owned medical tech JV
MEDIA-Indian PSUs seek exemption from paying huge dividends to govt.- Economic Times
BRIEF-Spain to sell up to 4.75 bln eur in bonds on Thursday
CORRECTED-BRIEF-Shanxi Yongdong Chemistry gets regalatory approval to set up bank with partners
Islamic State claims Istanbul attack
Trump says China 'won't help' with North Korea
BRIEF-China National Accord Medicines to raise stake in Zhuhai pharmaceutical firm to 100 pct from 10 pct
MEDIA-Everstone invests $35 mln in India's OmniActive Health Tech - Economic Times
Indian banks aim to boost credit growth with sharp rate cuts
MEDIA-India's aviation regulator asks aircraft leasing cos to pay more tax on imported planes - Economic Times
BRIEF-Hainan Haiyao to sell 30 pct stake in petty loan firm
S.Korea bans sales of some Nissan
Trump leaning toward Georgia ex-gov for agriculture head - official
BRIEF-Steyr Motors unit to get 200 mln yuan via authorizing technology
BRIEF-ICICI Bank announces 0.70 pct cut in I-MCLR benchmarks across tenures
Italy's 5-Star Movement unveils ethics code
MEDIA-India's GTPL Hathway files papers for 3 bln rupees IPO - Mint
BRIEF-Sichuan Datong Gas Development plans overseas LNG and gas trade unit worth 30 mln yuan
Suicide bombers attack 2 police stations in Iraq's Samarra - sources
BRIEF-RCL Retail gets members' nod for reappointment of Nitesh Lodha as MD
Man City make light of Fernandinho red card to beat Burnley
South Korea bans sales of some Nissan
Djokovic recovers from slow start to begin year with win in Doha
MEDIA-Hindustan Petroleum Corp to invest 12 bln rupees in city gas distribution business - Mint
No proof Russian hacking influenced U.S. election - Trump spokesman
Obama leaves Hawaii for Washington
Bank of Israel says preparing for 'renormalisation' of interest rates
BRIEF-Jiangsu Youli Investment Holding announces shareholding structure changes
Defoe frustrates Liverpool
Taiwan stocks edge up Innolux AU Optronics rise
MEDIA-India's Exide Industries to invest 3 bln rupees to expand capacity in West Bengal - Mint
Serena shakes out rust to advance in Auckland
ANALYSIS - Migrants in U.S.
Evacuations as forest fire rips through Valparaiso
MEDIA-India's ONGC plans separate division for difficult fields - Business Standard
BRIEF-Zhejiang Qianjiqng Motorycle sells 18.9 pct stake in Global Intelligent Power Technologies
MEDIA-India's Aavishkaar to raise $150 mln fund for Africa investments - Mint
North Korea's claim on ICBM test plausible - experts
